sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
CN1C=CC=2C=CC(=CC21)CNC3=CC(=O)N(C3=O)C4CCC(=O)NC4=O,Z5336266151,366.372,366.372,1.953,-3.078,2,5,100.51,4
O=C(NC=1C=CC=2C(=O)N(C(=O)C2C1)C3CCCNC3=O)C(F)Cl,Z5865754649,353.733,353.733,1.216,-3.806,2,4,95.58,4
CC1(C)CC(=O)C(=CNC=2C=CC=3C(=O)NC(=O)C3C2)C(=O)C1,Z87027121,312.321,312.321,2.425,-3.925,2,5,92.34,2
O=C(CCl)NC=1C=CC=2CNC(=O)C2C1,Z1562153581,224.644,224.644,0.763,-2.214,2,2,58.2,3
C=CC(=O)NCC1C=2C=CC=CC2C(=O)N1C,Z3488539024,230.263,230.263,0.662,-2.83,1,2,49.41,4
C=CC(=O)NC=1C=CC=C2CN(C)C(=O)C12,Z3417282502,216.236,216.236,0.666,-2.754,1,2,49.41,3
C=CC(=O)NCC(NC(=O)C=1C=CC=2C(=O)NCC2C1)C=3C=CC4=CC=CC=C4C3,Z4425283789,399.443,399.443,2.616,-6.243,3,3,87.3,8
C=CC(=O)NC[C@@]1(C[C@H](C1)NC(=O)C=2C=CC=C3CNC(=O)C23)C=4C=CC=CC4,Z4439295418,389.448,389.448,1.201,-4.21,3,3,87.3,8
C=CC(=O)N(CCNC(=O)C1=CC=CC=2CNC(=O)C12)CCOC,Z4615839141,331.367,331.367,0.71,-2.708,2,4,87.74,10
C=CC(=O)NC=1C=CC=C(C1)CC(=O)NC=2C=CC=CC2C3CNC(=O)C3,Z4899606143,363.411,363.411,-0.484,-3.6,3,3,87.3,8
O=C(C=CC=1C=C(Cl)C=CC1OCC=2C=CC=CC2Cl)N3CCC(C#CC=4C=CC=C5C(=O)N(CC45)C6CCC(=O)NC6=O)CC3,Z5083023850,656.555,656.555,6.018,-8.236,1,5,96.02,7
CC1=NN(CC=2C(Cl)=CC=CC2Cl)C(Cl)=C1C=CC(=O)N3CCC(C#CC=4C=CC=C5C(=O)N(CC45)C6CCC(=O)NC6=O)CC3,Z5083067441,678.992,678.992,5.339,-7.791,1,5,104.61,6
CC=CC(=O)NC=1C=CC=2CN(C(=O)C2C1)C3CCC(=O)NC3=O,Z3644482562,327.335,327.335,0.577,-3.592,2,4,95.58,3
C=CC(=O)N(CC1=CN=NN1CC)C2=CC=C3CNC(=O)C3=C2,Z3837400179,311.339,311.339,0.592,-2.363,1,4,80.12,6
C=CC(=O)NCC(NC(=O)C1=CC=CC=2CNC(=O)C12)C3CCCCC3,Z4425282862,355.432,355.432,2.228,-5.249,3,3,87.3,8
C=CC(=O)N(CC=1C=CSC1Cl)CC2=CC=C3CNC(=O)C3=C2,Z4874583700,346.833,346.833,2.365,-5.128,1,2,49.41,6
CCC1(CCC(=O)NC1=O)C=2C=CC(=CC2)NC(=O)C34CC4C3,Z5002945687,312.364,312.364,1.121,-3.074,2,3,75.27,4
C=CC(=O)NCC1NC(=O)C2=CC=CC=C21,Z5101985907,216.236,216.236,0.394,-2.614,2,2,58.2,4
CCCCC=1C=CC(=CC1)C2=CC=C(C=CC(=O)N3CCN(CC3)C=4C=C5C(=O)N(C(=O)C5=CC4F)C6CCC(=O)NC6=O)S2,Z5179407640,628.716,628.716,6.509,-9.523,1,6,107.1,9
C#CC1CCN(CC1)C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5266778157,315.325,315.325,1.263,-2.658,1,5,86.79,2
COCCN(CC=1C=CC=CN1)C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5336266105,372.376,372.376,0.444,-2.069,1,7,108.91,7
C#CC1CCCN1C(=O)COC=2C=CC=C3C(=O)N(CC23)C4CCC(=O)NC4=O,Z4350580160,395.409,395.409,0.661,-4.08,1,5,96.02,5
C=CC(=O)N1CCCC=2C(=CC=CC21)C(=O)NC=3C=CC=4CNC(=O)C4C3,Z4899432607,361.395,361.395,2.433,-4.978,2,3,78.51,3
N#CC1=CN(C(=O)NC1=O)C2CN(C2)C(=O)C(F)Cl,Z5002959371,286.647,286.647,-0.644,-2.386,1,4,93.51,3
CCN(C1=CC(=O)N(C1=O)C2CCC(=O)NC2=O)C=3C=CC=C(C)C3,Z5266778165,341.362,341.362,2.729,-4.128,1,5,86.79,4
CN(CCN1C=C(Br)C=N1)C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5336266107,410.223,410.223,1.5,-2.385,1,6,104.61,5
COC1=CC=C2CCN(CC2=C1OC)C3=CC(=O)N(C3=O)C4CCC(=O)NC4=O,Z5336266162,399.398,399.398,1.374,-3.332,1,7,105.25,4
