"Molecule (Canonical)","ExactMW","Source"
"Cc1cc(C=C(C#N)C(=O)Nc2ccccc2Br)c(C)n1-c1cccc(Cl)c1",453.02435194400005,"Screening"
"N#CC(=Cc1ccccc1OCc1ccc(F)cc1)C(=O)Nc1ccc([N+](=O)[O-])cc1O",433.10739883199994,"Screening"
"CCOc1cc(C=C(C#N)C(=O)Nc2ccc([N+](=O)[O-])cc2O)ccc1OC(=O)c1ccc(Cl)cc1",507.0833275959999,"Screening"
"COc1ccc(C=C(C#N)C(=O)Nc2ccc([N+](=O)[O-])cc2O)cc1OC(=O)c1cccc2ccccc12",509.1222999479999,"Screening"
"N#CC(=Cc1c(OCc2ccccc2)ccc2ccccc12)C(=O)Nc1ccccc1[N+](=O)[O-]",449.137556088,"Screening"
"Cc1ccc(C2N(c3ccc(OCc4ccccc4)cc3)C(=O)C2(F)F)o1",369.11764984399997,"Screening"
"CCOC(=O)c1c(NC(=O)C(C#N)=Cc2ccc(Cl)cc2)sc2c1CCN(Cc1ccccc1)C2",505.122690308,"Screening"
"CCOC(=O)c1c(-c2ccccc2)csc1NC(=O)C(C#N)=Cc1ccc(N(CC)CC)cc1",473.17731272400005,"Screening"
"COc1cc([N+](=O)[O-])ccc1NC(=O)C(C#N)=Cc1ccc(OC(=O)c2cccc3ccccc23)c(OC)c1",523.1379500119999,"Screening"
"N#CC(=Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1)C(=O)N1CCCCCC1",430.156039036,"Screening"
"N#CC(=Cc1cccc(OC(=O)c2cccc3ccccc23)c1)C(=O)Nc1cc(Cl)cc(Cl)c1",486.053797732,"Screening"
"CC(C)(C)c1ccc(OCC(=O)NNC(=O)C(C#N)=Cc2ccccc2)cc1",377.173941596,"Screening"
"CCOc1ccc(NC(=O)C(C#N)=CC2CC=CCC2)cc1",296.15247788,"Screening"
"Cc1ccccc1N=C1SCC(C)(C)N1C(=O)C(C#N)=Cc1ccc2c(c1)OCO2",419.130362532,"Screening"
"CCOC(=O)c1c(NC(=O)COC(=O)[C@@H](NS(=O)(=O)C=Cc2ccccc2)C(C)C)sc2c1CCC2",534.1494433,"Screening"
"COc1cccc(OC2C(=O)N(CC(C)(C)N3CCOCC3)C2c2cc(OC)cc(OC)c2)c1",470.24168680799994,"Screening"
"COc1ccc(OC)c(C2C(Oc3cccc(C#N)c3)C(=O)N2CC(C)(C)N2CCOCC2)c1",465.226371092,"Screening"
"O=Cc1c(N2CCSCC2)nc2ccccn2c1=O",275.072847656,"Screening"
"Cc1cccn2c(=O)c(C=O)c(N3CCSCC3)nc12",289.08849772,"Screening"
"N#CC(=Cc1c(N2CCOCC2)nc2ccccn2c1=O)C(=O)N1CCOCC1",395.159354152,"Screening"
"N#CC(=Cc1c(N2CCOCC2)nc2ccccn2c1=O)C(=O)NC1CCCCC1",407.19573966,"Screening"
"CCOc1cc(C#N)ccc1OC1C(=O)N(CC2CCCO2)C1c1cccc(Br)c1",470.084119316,"Screening"
"Cc1cccn2c(=O)c(C=O)c(N3CCN(Cc4ccccc4)CC3)nc12",362.174275944,"Screening"
"O=Cc1c(N2CCN(Cc3ccccc3)CC2)nc2ccccn2c1=O",348.15862588,"Screening"
"CCOc1cc(C#N)ccc1OC1C(=O)N(CC2CCCO2)C1c1cc(F)ccc1F",428.154763624,"Screening"
"Cc1ccc(Nc2nc3c(C)cccn3c(=O)c2C=O)cc1",293.11642672,"Screening"
"Cc1c(C=O)c2ccccc2n1CC(=O)N1c2ccc(F)cc2CCC1C",364.158706132,"Screening"
"CCc1cccc(N(C#N)Cc2nc(-c3ccoc3)no2)c1",294.111675688,"Screening"
"Cc1ccc(OC2C(=O)N(CCc3csc(C)n3)C2c2ccc(C#N)cc2)c(C)c1",417.1510979760001,"Screening"
"COc1cccc(OC2C(=O)N(CCc3csc(C)n3)C2c2ccc(C#N)cc2)c1",419.13036253200005,"Screening"
"CN(CC(=O)NCC1(N2CCOCC2)CCCCC1)S(=O)(=O)C=Cc1ccccc1",435.21917753599996,"Screening"
"N#CC(=Cc1ccc(-c2ccccc2F)o1)C(=O)Nc1nccs1",339.04777578,"Screening"
"CC(C)NC(=O)C(C#N)=Cc1ccc(-c2ccccc2F)o1",298.11175593999997,"Screening"
"COc1ccccc1CN(Cc1cccs1)C(=O)CN(C)S(=O)(=O)C=Cc1ccccc1",470.133399312,"Screening"
"O=C(O)c1cc2c(cc1NS(=O)(=O)C=Cc1ccccc1)OCCO2",361.0620082,"Screening"
"O=C1C(Oc2cccc(Cl)c2)C(c2cc(F)ccc2F)N1CCCCN1CCOCC1",450.15217678000005,"Screening"
"C=CCN(Cc1cccs1)C(=O)C(C#N)=Cc1cc(C)n(CCC)c1C",367.17183342000004,"Screening"
"N#CC(=Cc1ccc(N2CCCCC2)o1)C(=O)Nc1nccs1",328.09939675199996,"Screening"
"COc1ccc(OC)c(C2C(Oc3cc(C)ccc3C)C(=O)N2Cc2cccc(NC(C)=O)c2)c1",474.21547205999997,"Screening"
"CCOC(=O)c1c(-c2ccccc2)[nH]c(C=O)c1Cc1ccc(Cl)c(Cl)c1",401.058548764,"Screening"
"CN1C(=CC=C(C#N)C(=O)Nc2cccc3ncccc23)C(C)(C)c2ccccc21",394.179361324,"Screening"
"O=Cc1ccc(Oc2nc(C(F)(F)F)nc3ccccc23)cc1",318.061612188,"Screening"
"C=CC(=O)NCc1ccc(C(=O)NCc2ccccc2C)cc1",308.15247788,"Screening"
"C=CC(=O)NCc1ccc(C(=O)N2CCN(S(=O)(=O)c3cc(C)ccc3C)CC2)cc1",441.172227344,"Screening"
"C=CC(=O)N1CCC(C(=O)NC(c2ccc(Cl)c(F)c2)c2noc(C)n2)CC1",406.1207964,"Screening"
"Cc1ccc(C=CS(=O)(=O)NCCC(=O)Nc2cccc(S(=O)(=O)N3CCCCC3)c2)cc1",491.15486302799997,"Screening"
"O=S(=O)(C=Cc1ccc(Cl)cc1)Nc1cc(Cl)ccc1-n1cncn1",394.0058019840001,"Screening"
"Cc1ccc(C=CS(=O)(=O)NCC(=O)NC(C)c2cc3ccccc3o2)cc1",398.13002818399997,"Screening"
"C=CC(=O)NCCC(=O)NCCOc1ccc2c(c1)OCO2",306.121571676,"Screening"
"CCN1CCN(C(=O)c2csc(C=O)c2)CC1",252.093248752,"Screening"
"C=CC(=O)N1CCC(C(=O)N(Cc2ccc(O)cc2)Cc2ccco2)CC1",368.173607248,"Screening"
"C=CC(=O)NCc1ccc(C(=O)Nc2nnc(C(C)C)[nH]2)cc1",313.15387484800004,"Screening"
