stereo_smiles,LUMO_eV
Cc1nc2n(c1C(=O)Nc1ccc(N[C@@H]3CCC(=O)NC3=O)cc1)C[C@@H](C)CC2,-7.908238224
CN(c1ccn2ncc(C#N)c2n1)[C@@H]1CCC(=O)NC1=O,-8.030398589
Cc1nc2n(c1C(=O)Nc1ccc(N[C@H]3CCC(=O)NC3=O)cc1)C[C@@H](C)CC2,-7.908278033
C[C@@H]1CCCn2c(CC(=O)Nc3ccc(N[C@@H]4CCC(=O)NC4=O)cc3)cnc21,-7.592264193
C[C@H]1CCCn2c(CC(=O)Nc3ccc(N[C@@H]4CCC(=O)NC4=O)cc3)cnc21,-7.606142835
C[C@@H]1CCCn2c(CC(=O)Nc3ccc(N[C@H]4CCC(=O)NC4=O)cc3)cnc21,-7.566172865
C[C@H]1CCCn2c(CC(=O)Nc3ccc(N[C@H]4CCC(=O)NC4=O)cc3)cnc21,-7.581132587
CN1Cc2c(NC(=O)N3CC[C@H](Oc4cccnc4N(C)C)C3)cccc2C1=O,-7.974631192
CN1Cc2c(NC(=O)N3CC[C@@H](Oc4cccnc4N(C)C)C3)cccc2C1=O,-7.976410938
C[C@H](C(=O)Nc1ccc(N[C@@H]2CCC(=O)NC2=O)cc1)n1cc2c(n1)CCCC2,-7.975261085
C[C@@H](C(=O)Nc1ccc(N[C@@H]2CCC(=O)NC2=O)cc1)n1cc2c(n1)CCCC2,-7.970451761
C[C@H](C(=O)Nc1ccc(N[C@H]2CCC(=O)NC2=O)cc1)n1cc2c(n1)CCCC2,-7.051176339
CN(c1ccn2ncc(C#N)c2n1)[C@H]1CCC(=O)NC1=O,-8.092802612
C[C@@H](C(=O)Nc1ccc(N[C@H]2CCC(=O)NC2=O)cc1)n1cc2c(n1)CCCC2,-7.054417032
Cc1nc([C@@H]2CCCNC2)[nH]c1C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1,-7.923272941
Cc1nc([C@H]2CCCNC2)[nH]c1C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1,-7.92338815
Cc1nc([C@@H]2CCCNC2)[nH]c1C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1,-7.923797836
Cc1nc([C@H]2CCCNC2)[nH]c1C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1,-7.923934174
N#CN1CCC[C@H](c2ccc3c(c2)NCC[C@@H]3C(=O)N[C@@H]2CCC(=O)NC2=O)C1,-8.030293741
N#CN1CCC[C@@H](c2ccc3c(c2)NCC[C@@H]3C(=O)N[C@@H]2CCC(=O)NC2=O)C1,-7.996076207
N#CN1CCC[C@H](c2ccc3c(c2)NCC[C@H]3C(=O)N[C@@H]2CCC(=O)NC2=O)C1,-7.997486374
N#CN1CCC[C@@H](c2ccc3c(c2)NCC[C@H]3C(=O)N[C@@H]2CCC(=O)NC2=O)C1,-8.022041651
N#CN1CCC[C@H](c2ccc3c(c2)NCC[C@@H]3C(=O)N[C@H]2CCC(=O)NC2=O)C1,-8.006877554
CN(c1ccnc2c(C#N)cnn12)[C@@H]1CCC(=O)NC1=O,-7.94198975
N#CN1CCC[C@@H](c2ccc3c(c2)NCC[C@@H]3C(=O)N[C@H]2CCC(=O)NC2=O)C1,-8.059578206
N#CN1CCC[C@H](c2ccc3c(c2)NCC[C@H]3C(=O)N[C@H]2CCC(=O)NC2=O)C1,-7.995225984
N#CN1CCC[C@@H](c2ccc3c(c2)NCC[C@H]3C(=O)N[C@H]2CCC(=O)NC2=O)C1,-8.023499664
O=C1CC[C@H](NC(=O)c2cc(C3CC3)nc3c2cnn3C2CCCCC2)C(=O)N1,-7.984971501
O=C1CC[C@@H](NC(=O)c2cc(C3CC3)nc3c2cnn3C2CCCCC2)C(=O)N1,-7.992740721
Cn1nc([C@@H]2CCC(=O)NC2=O)c2ccc(NC(=O)NCC3=CCCCC3)cc21,-7.977322996
Cn1nc([C@H]2CCC(=O)NC2=O)c2ccc(NC(=O)NCC3=CCCCC3)cc21,-7.983953024
CCc1cn2c(n1)CC[C@H](C(=O)Nc1ccc(N[C@@H]3CCC(=O)NC3=O)cc1)C2,-8.003013452
CCc1cn2c(n1)CC[C@@H](C(=O)Nc1ccc(N[C@@H]3CCC(=O)NC3=O)cc1)C2,-8.032841406
CCc1cn2c(n1)CC[C@H](C(=O)Nc1ccc(N[C@H]3CCC(=O)NC3=O)cc1)C2,-7.437952393
CN(c1ccnc2c(C#N)cnn12)[C@H]1CCC(=O)NC1=O,-8.080134044
CCc1cn2c(n1)CC[C@@H](C(=O)Nc1ccc(N[C@H]3CCC(=O)NC3=O)cc1)C2,-7.438248601
CC(C)Nc1nc(Nc2ccc([C@@H]3CCC(=O)NC3=O)cc2)nc(NC2CC2)n1,-7.549104157
CC(C)Nc1nc(Nc2ccc([C@H]3CCC(=O)NC3=O)cc2)nc(NC2CC2)n1,-7.5454657
