batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
32,16,0.0005,42,0.11546120493534195,0.36374839543591103,0.2714892285263914,-0.5864870835264817,0.4871479887358655,0.3580980470617451,0.47830095003068707,0.2793525669791449,0.20549288921493164
32,16,0.0005,21,0.10059503210706178,0.3667923629508516,0.2796370307989058,0.2839666006223879,0.32727232648062904,0.2400958424168306,0.3911493823348803,0.301785256633422,0.23142675455756162
32,16,0.0005,0,0.4054526257184078,0.2982193891257507,0.21700828461731891,0.18038000359306205,0.3501457958765236,0.2346424401420524,0.3513833962122632,0.3114846679538437,0.23562089242378398
32,16,0.0001,42,-0.6144548720876988,0.4914231354003295,0.38968154187876847,-3.496885187277039,0.820159922122236,0.6817944171165922,-0.2197340584369889,0.42714489363149494,0.3408293048180977
32,16,0.0001,21,-0.6750455184260675,0.5005597789143187,0.39709868760098527,-1.6740144464220883,0.6324475552592705,0.48970790553978744,-0.4198577127109906,0.46085579829820844,0.3675286819739078
32,16,0.0001,0,-0.31650467687905737,0.4437658179320523,0.3487870921725375,-3.377197618266967,0.8091717658017926,0.6430913079279942,-0.06773116470993812,0.39964428149108105,0.30106959386129434
32,8,0.001,42,-0.9211872959586482,0.5360773975632314,0.4633914784941493,0.6760599032557644,0.2201278527758679,0.16356687146799287,-0.021923223471387088,0.3909775113283099,0.31563523885349987
32,8,0.001,21,-1.0606434977834316,0.555193119210435,0.48290674961100805,0.6046177270224802,0.24319309532986344,0.1718093133367228,-0.7921516756558411,0.5177618231611728,0.44879425223306163
32,8,0.001,0,-1.1843903424628501,0.5716204630673227,0.496788562181552,0.6134730882801686,0.24045428009632247,0.17657142365831083,-0.6737936210619071,0.5003726894916135,0.43457217280506677
32,8,0.0005,42,-2.4355678077439866,0.7168724754713469,0.6563306499413315,0.665808056643046,0.2235839535881388,0.16439469248437896,-1.6988734795062395,0.6353805355820894,0.5706012973255415
32,8,0.0005,21,-1.7392097358068224,0.6401109947253728,0.5678450374204295,-1.980568630603471,0.6677166513651592,0.5346412689954536,-1.5654016519211833,0.6194700706979396,0.552822014483816
32,8,0.0005,0,-2.391785332898055,0.7122899593495199,0.6422611715047016,-3.0610485167991524,0.7794023887752689,0.6488987739258099,-1.4864775364208502,0.609866690077501,0.545066354723599
