stereo_smiles,LUMO_eV
O=C1CC[C@@H](n2cnc3ccc(OCc4ccc(CN5CCOCC5)cc4)cc32)C(=O)N1,-8.140074301
O=C1CC[C@H](c2ccc(Nc3ncnc4c3CCNC4=O)cc2)C(=O)N1,-7.835987082
O=C1CC[C@@H](c2ccc(Nc3ncnc4c3CCNC4=O)cc2)C(=O)N1,-7.836387331
N#CN1CC[C@H](c2nccc(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)n2)C1,-8.373355332
N#CN1CC[C@@H](c2nccc(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)n2)C1,-8.212206631
N#CN1CC[C@H](c2nccc(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)n2)C1,-8.366197728
N#CN1CC[C@@H](c2nccc(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)n2)C1,-8.115349314
O=C1CCN(c2ccc(-c3cc(F)cc(COC4CCCCC4)c3)cc2)C(=O)N1,-7.401069726
N#CN1CC[C@H](c2nnnn2-c2ccc(C(=O)N[C@@H]3CCC(=O)NC3=O)cc2)C1,-8.569644557
N#CN1CC[C@@H](c2nnnn2-c2ccc(C(=O)N[C@@H]3CCC(=O)NC3=O)cc2)C1,-8.371964304
N#CN1CC[C@H](c2nnnn2-c2ccc(C(=O)N[C@H]3CCC(=O)NC3=O)cc2)C1,-8.399145347
N#CN1CC[C@@H](c2nnnn2-c2ccc(C(=O)N[C@H]3CCC(=O)NC3=O)cc2)C1,-8.125317475
N#CN1CCC[C@H](c2ccc3cnc(C(=O)N[C@@H]4CCC(=O)NC4=O)nc3c2)C1,-8.941884419
N#CN1CCC[C@@H](c2ccc3cnc(C(=O)N[C@@H]4CCC(=O)NC4=O)nc3c2)C1,-8.669162339
N#CN1CCC[C@H](c2ccc3cnc(C(=O)N[C@H]4CCC(=O)NC4=O)nc3c2)C1,-8.669517894
N#CN1CCC[C@@H](c2ccc3cnc(C(=O)N[C@H]4CCC(=O)NC4=O)nc3c2)C1,-8.668933831
O=C1NCc2ccc(OC[C@H](O)COCc3cccs3)cc21,-7.088116381
O=C1NCc2ccc(OC[C@@H](O)COCc3cccs3)cc21,-7.201952377
Cc1cc2occ(CC(=O)Nc3ccc4c(c3)C(=O)NC4=O)c2cc1C(C)C,-8.615701474
CN(CC(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1)c1ncnc2nc[nH]c12,-7.872527973
CN(CC(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1)c1ncnc2nc[nH]c12,-7.868347273
Nc1nc(C(=O)N[C@@H]2CCC(=O)NC2=O)nc(N2CCOCC2)n1,-7.981976103
Nc1nc(C(=O)N[C@H]2CCC(=O)NC2=O)nc(N2CCOCC2)n1,-7.980769639
O=C1CC[C@H](Sc2ncnc3c2oc2ccccc23)C(=O)N1,-8.115516454
O=C1CC[C@@H](Sc2ncnc3c2oc2ccccc23)C(=O)N1,-8.114443036
N#CN1CC[C@H](c2ccc(-n3cc(C(=O)N[C@@H]4CCC(=O)NC4=O)cn3)cc2)C1,-7.992083579
N#CN1CC[C@@H](c2ccc(-n3cc(C(=O)N[C@@H]4CCC(=O)NC4=O)cn3)cc2)C1,-7.993199256
N#CN1CC[C@H](c2ccc(-n3cc(C(=O)N[C@H]4CCC(=O)NC4=O)cn3)cc2)C1,-8.003737319
N#CN1CC[C@@H](c2ccc(-n3cc(C(=O)N[C@H]4CCC(=O)NC4=O)cn3)cc2)C1,-7.99664384
Cn1cccc1C(=O)N[C@@H]1CCC(=O)NC1=O,-7.878734749
Cn1cccc1C(=O)N[C@H]1CCC(=O)NC1=O,-7.878779874
Cn1cc(C#N)cc1C(=O)N[C@@H]1CCC(=O)NC1=O,-8.072420648
Cn1cc(C#N)cc1C(=O)N[C@H]1CCC(=O)NC1=O,-8.072652085
O=C1CC[C@H](N2Cc3ccc(NC(=O)c4ccccc4S(=O)(=O)F)cc3C2=O)C(=O)N1,-8.236721163
O=C1CC[C@@H](N2Cc3ccc(NC(=O)c4ccccc4S(=O)(=O)F)cc3C2=O)C(=O)N1,-8.134073436
O=C1CC[C@H](N2Cc3ccc(NC(=O)c4cccc(S(=O)(=O)F)c4)cc3C2=O)C(=O)N1,-8.084895184
O=C1CC[C@@H](N2Cc3ccc(NC(=O)c4cccc(S(=O)(=O)F)c4)cc3C2=O)C(=O)N1,-8.047247505
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)cc1,-7.815823379
Cc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)cc1,-7.868927335
N#Cc1c[nH]c(C(=O)Nc2cccc3c2CN([C@@H]2CCC(=O)NC2=O)C3=O)c1,-7.94374314
N#Cc1c[nH]c(C(=O)Nc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)c1,-7.943875132
N#CN1CC[C@H](c2ccc3c(c2)-c2sc(C(=O)N[C@@H]4CCC(=O)NC4=O)cc2CC3)C1,-7.991413384
N#CN1CC[C@@H](c2ccc3c(c2)-c2sc(C(=O)N[C@@H]4CCC(=O)NC4=O)cc2CC3)C1,-8.02978587
N#CN1CC[C@H](c2ccc3c(c2)-c2sc(C(=O)N[C@H]4CCC(=O)NC4=O)cc2CC3)C1,-7.993382939
N#CN1CC[C@@H](c2ccc3c(c2)-c2sc(C(=O)N[C@H]4CCC(=O)NC4=O)cc2CC3)C1,-7.985529999
N#CN1CCC(c2c(-c3ccc4c(c3)CN([C@@H]3CCC(=O)NC3=O)C4=O)nc3n2CCC3)CC1,-7.672009225
N#CN1CCC(c2c(-c3ccc4c(c3)CN([C@H]3CCC(=O)NC3=O)C4=O)nc3n2CCC3)CC1,-7.797058388
N#CN1CC[C@H](c2cncnc2-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)C1,-8.240347517
N#CN1CC[C@@H](c2cncnc2-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)C1,-8.238794367
N#CN1CC[C@H](c2cncnc2-c2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)C1,-8.002865283
N#CN1CC[C@@H](c2cncnc2-c2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)C1,-8.028210678
Cn1c(N)c(N2C(=O)C=CC2=O)c(=O)[nH]c1=O,-9.5093
N#CN1CCC[C@H](c2cncc(-c3ncc(C(=O)N[C@@H]4CCC(=O)NC4=O)s3)n2)C1,-8.720757993
N#CN1CCC[C@@H](c2cncc(-c3ncc(C(=O)N[C@@H]4CCC(=O)NC4=O)s3)n2)C1,-8.699223113
N#CN1CCC[C@H](c2cncc(-c3ncc(C(=O)N[C@H]4CCC(=O)NC4=O)s3)n2)C1,-8.784828091
N#CN1CCC[C@@H](c2cncc(-c3ncc(C(=O)N[C@H]4CCC(=O)NC4=O)s3)n2)C1,-8.776804854
O=C1CC[C@H](N2C(=O)c3ccc(N4CCCNCC4)cc3C2=O)C(=O)N1,-8.479292879
O=C1CC[C@@H](N2C(=O)c3ccc(N4CCCNCC4)cc3C2=O)C(=O)N1,-8.387929426
O=C1CC[C@H](Nc2ccc(NC(=O)c3nccn4cc(Cl)cc34)cc2)C(=O)N1,-8.081451395
O=C1CC[C@@H](Nc2ccc(NC(=O)c3nccn4cc(Cl)cc34)cc2)C(=O)N1,-8.081792239
N#CN1CCC[C@H](c2cccc(-c3nc(C(=O)N[C@@H]4CCC(=O)NC4=O)c4n3CCCCC4)c2)C1,-7.61030288
N#CN1CCC[C@@H](c2cccc(-c3nc(C(=O)N[C@@H]4CCC(=O)NC4=O)c4n3CCCCC4)c2)C1,-7.636791553
N#CN1CCC[C@H](c2cccc(-c3nc(C(=O)N[C@H]4CCC(=O)NC4=O)c4n3CCCCC4)c2)C1,-7.706894051
N#CN1CCC[C@@H](c2cccc(-c3nc(C(=O)N[C@H]4CCC(=O)NC4=O)c4n3CCCCC4)c2)C1,-7.631073019
O=C1CC[C@H](N2Cc3cc(-n4cc(-c5cnsc5)nn4)ccc3C2=O)C(=O)N1,-8.121192341
O=C1CC[C@@H](N2Cc3cc(-n4cc(-c5cnsc5)nn4)ccc3C2=O)C(=O)N1,-8.072113766
C=CC(=O)Nc1ccc([C@]2(CC)CCC(=O)NC2=O)cc1,-7.593926089
C=CC(=O)Nc1ccc([C@@]2(CC)CCC(=O)NC2=O)cc1,-7.594554109
O=C1CC[C@H](c2cccc(OS(=O)(=O)F)c2)C(=O)N1,-8.312415242
O=C1CC[C@@H](c2cccc(OS(=O)(=O)F)c2)C(=O)N1,-7.949553629
O=C1CC[C@H](c2ccc(OS(=O)(=O)F)cc2)C(=O)N1,-7.893665411
O=C1CC[C@@H](c2ccc(OS(=O)(=O)F)cc2)C(=O)N1,-7.883542794
CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,-7.431528881
CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,-7.431388919
O=C1CC[C@H](c2ccccc2)C(=O)N1,-7.648292447
O=C1CC[C@@H](c2ccccc2)C(=O)N1,-7.648005026
CC[C@]1(c2ccc(NC(=O)CCl)cc2)CCC(=O)NC1=O,-7.594346369
CC[C@@]1(c2ccc(NC(=O)CCl)cc2)CCC(=O)NC1=O,-7.594525116
Nc1cccc([C@@H]2CCC(=O)NC2=O)c1,-7.551621191
Nc1cccc([C@H]2CCC(=O)NC2=O)c1,-7.552101275
Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1,-7.934514043
CCC(=O)NCC(=O)Nc1ccc([C@]2(CC)CCC(=O)NC2=O)cc1,-7.491862968
CCC(=O)NCC(=O)Nc1ccc([C@@]2(CC)CCC(=O)NC2=O)cc1,-7.497764717
Nc1ccc([C@H]2CCC(=O)NC2=O)cc1,-7.510972744
CCCCOc1ccc([C@@H]2CCC(=O)NC2=O)cc1,-7.582224701
CCCCOc1ccc([C@H]2CCC(=O)NC2=O)cc1,-7.580668347
NCCCCCNC(=O)C(=O)Nc1cccc([C@@H]2CCC(=O)NC2=O)c1,-7.647414561
NCCCCCNC(=O)C(=O)Nc1cccc([C@H]2CCC(=O)NC2=O)c1,-7.737072774
