sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCOC1=CC=2C=C(NC2C=C1OC)C(=O)N[C@@H]3CCC(=O)NC3=O,Z8589948394,345.351,345.351,0.949,-3.768,3,5,109.52,5,https://real.enamine.net/public-enum-files/Z8589948394
CC(C)OC=1C=CC=CC1C2=CSC(=C2)C(=O)N[C@@H]3CCC(=O)NC3=O,Z8594595941,372.44,372.44,2.157,-5.037,2,4,84.5,5,https://real.enamine.net/public-enum-files/Z8594595941
CC=1C=NN(CCO)C1C(=O)NC2CCC(=O)NC2=O,Z8607596277,280.28,280.28,-2.016,-0.793,3,5,113.32,4,https://real.enamine.net/public-enum-files/Z8607596277
O=C(NC1CCC(=O)NC1=O)C2=CC(=NO2)C3(F)COC3,Z8628158780,297.24,297.24,-1.11,-2.034,2,5,110.53,3,https://real.enamine.net/public-enum-files/Z8628158780
O=C(NC1CCC(=O)NC1=O)C2=NNC=3C=NC=CC23,Z8636693823,273.248,273.248,-0.329,-1.797,3,5,116.84,2,https://real.enamine.net/public-enum-files/Z8636693823
CN1C(=CN=C1C(=O)NC2CCC(=O)NC2=O)COC=3C=CC=CC3,Z8658700973,342.35,342.35,0.836,-2.002,2,5,102.32,5,https://real.enamine.net/public-enum-files/Z8658700973
CC1=NN(C=2C=CC(C)=NN2)C=3SC(=CC13)C(=O)NC4CCC(=O)NC4=O,Z8705269415,384.414,384.414,0.262,-4.075,2,6,118.87,3,https://real.enamine.net/public-enum-files/Z8705269415
CC1=NC(OC(F)F)=C(S1)C(=O)NC2CCC(=O)NC2=O,Z8708010205,319.286,319.286,0.971,-2.449,2,5,97.39,4,https://real.enamine.net/public-enum-files/Z8708010205
O=C(NC1CCC(=O)NC1=O)C=2OC(Cl)=C(Cl)C2Cl,Z8819573958,325.532,325.532,0.75,-4.492,2,3,88.41,2,https://real.enamine.net/public-enum-files/Z8819573958
CCC1=NSC=C1C(=O)NC2CCC(=O)NC2=O,Z8850202925,267.306,267.306,0.052,-1.779,2,4,88.16,3,https://real.enamine.net/public-enum-files/Z8850202925
CC1CNC2=C(C=NN2C1)C(=O)NC3CCC(=O)NC3=O,Z9212548463,291.306,291.306,-1.034,-1.598,3,5,105.12,2,https://real.enamine.net/public-enum-files/Z9212548463
O=C(NC1CCC(=O)NC1=O)C=2C=NOC2C3CCC3,Z9212573445,277.277,277.277,-0.374,-2.035,2,4,101.3,3,https://real.enamine.net/public-enum-files/Z9212573445
CC1=CN(N=C1C(=O)NC2CCC(=O)NC2=O)C3CCOCC3,Z9212651356,320.344,320.344,-1.691,-1.726,2,5,102.32,3,https://real.enamine.net/public-enum-files/Z9212651356
O=C(NC1CCC(=O)NC1=O)C2=NN3C=CC(=NC3=N2)C(F)(F)F,Z9212653638,342.234,342.234,-0.529,-2.668,2,6,118.35,3,https://real.enamine.net/public-enum-files/Z9212653638
CC1(C)OCC=2C(=NNC21)C(=O)NC3CCC(=O)NC3=O,Z9212680933,292.291,292.291,-0.303,-1.994,3,5,113.18,2,https://real.enamine.net/public-enum-files/Z9212680933
CNC1=C(SC=2N=CC=NC12)C(=O)NC3CCC(=O)NC3=O,Z9213033572,319.341,319.341,0.76,-1.805,3,6,113.08,3,https://real.enamine.net/public-enum-files/Z9213033572
COC=1C=CC=CC1C2=NOC(C)=C2C(=O)NC3CCC(=O)NC3=O,Z9213951377,343.335,343.335,0.012,-3.025,2,5,110.53,4,https://real.enamine.net/public-enum-files/Z9213951377
