"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)Nc1cccnc1-n1cccn1",214.08546094,"Covalent"
"C=CC(=O)Nc1ccc2c(c1)NC(=O)CS2",234.04629856,"Covalent"
"C=CC(=O)N1CC(=O)Nc2ccccc2C1",216.089877624,"Covalent"
"C=CC(=O)N(C)Cc1cnn(-c2ccccc2)c1",241.1215121,"Covalent"
"C=CC(=O)N(C)Cc1cc(Cl)cn1C",212.071640716,"Covalent"
"C=CC(=O)NCc1ccn(-c2ccc(F)cc2)n1",245.096440224,"Covalent"
"C=CC(=O)N1CCSC2COCCC21",213.08234972,"Covalent"
"C=CC(=O)NC1CC(C)OC1C",169.11027872,"Covalent"
"C=CC(=O)NC1CCOC(CC(C)C)C1",211.157228912,"Covalent"
"C=CC(=O)NC1(C(=O)Nc2ccccc2)CC1",230.105527688,"Covalent"
"C=CC(=O)N1CCS(=O)(=O)C(CC)(CC)C1",245.108564468,"Covalent"
"C=CC(=O)NC(C)c1csnn1",183.046632908,"Covalent"
"C=CC(=O)N(C)C1CCCOC1",169.11027872,"Covalent"
"C=CC(=O)NC(CC)c1ccc2c(c1)OCCO2",247.120843404,"Covalent"
"C=CC(=O)N1CCCC(c2noc(C)n2)C1",221.11642672,"Covalent"
"C=CC(=O)NC(C)c1csc(C2CC2)n1",222.082684068,"Covalent"
"C=CC(=O)N1CCN(c2cccc(C)n2)CC1C",245.152812228,"Covalent"
"C=CC(=O)NC1CCCN(c2ccc(C)nn2)C1",246.148061196,"Covalent"
"C=CC(=O)N1CCCN(C)c2ccccc21",216.126263132,"Covalent"
"C=CC(=O)N1CCc2cccc(F)c2C1C",219.105942288,"Covalent"
"C=CC(=O)Nc1cc(CC)on1",166.07422756,"Covalent"
"C=CC(=O)N(C)Cc1nnc(C2CC2)n1C",220.132411132,"Covalent"
"C=CC(=O)NCC(=O)NC1(C)CCCCC1",224.15247788,"Covalent"
"C=CC(=O)N1CCc2ncnc(N(C)C)c2C1",232.132411132,"Covalent"
"C=CC(=O)NC1CCCC2OCCC12",195.125928784,"Covalent"
"C=CC(=O)Nc1ccc(C2CC2)nn1",189.090211972,"Covalent"
"C=CC(=O)Nc1cccc2c1CCO2",189.078978592,"Covalent"
"C=CC(=O)NCC1SCCS1",189.028205972,"Covalent"
"C=CC(=O)NC1CC2CCC(C2)C1",179.131014164,"Covalent"
