smiles,cov_label,crbn_chemspace,source,cov_crbn_label
O=C1CCC(N2Cc3cc(-c4ccncn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
Cn1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nn1,0.0,1,open_database,0
Cn1ncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cscn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
Cc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
Cc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
Cc1ccnc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
Cc1nccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
Cc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
Nc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ncn1,0.0,1,open_database,0
Nc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nn1,0.0,1,open_database,0
Nc1cnc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cn1,0.0,1,open_database,0
CCn1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccnc(F)c4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cccc(F)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc(F)cn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
N#Cc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
N#Cc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ccn1,0.0,1,open_database,0
N#Cc1ccnc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
N#Cc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
CCc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccnn4C4CC4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cn5c(n4)CCC5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
Cc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ncc1N,0.0,1,open_database,0
CNc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cc(CO)ccn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
COc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
COc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
COc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ccn1,0.0,1,open_database,0
Cc1nc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cnc1N,0.0,1,open_database,0
COc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nn1,0.0,1,open_database,0
N#Cc1nc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cs1,0.0,1,open_database,0
CC(C)n1nccc1-c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CCCn1nccc1-c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CCCn1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cc(O)c(F)cn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cc(Cl)ccn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc(Cl)cn4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4csc(CO)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cn5ccccc5n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc(C5CC5)cc4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5occc5n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CC(=O)c1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CC(=O)c1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
CC(C)c1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5c(c4)OCO5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CCOc1cccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CCOc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
CN(C)c1nccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CCOc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
COc1nc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ccc1N,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cccc(C(F)F)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5ncccc5n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
N#CCOc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5c(n4)CCCN5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
Nc1nc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc(C2CC2)n1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cnc5c(c4)NCCO5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
CCCOc1ccc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)nc1,0.0,1,open_database,0
CC(C)Oc1cncc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)n1,0.0,1,open_database,0
CC(C)Oc1cncc(-c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)n1,0.0,1,open_database,0
Cc1cc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)ncc1C(F)F,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cccc(-n5cccn5)c4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4cnn(-c5ccccc5)c4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccn(-c5ccccc5)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc(-n5cccn5)cc4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4coc(-c5ccccc5)n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5cccc(O)c5n4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(-c4ccc5c(c4)C(=O)CCC5)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
