smiles,cov_crbn_label
O=C1CCC(N2Cc3ccc(NC(=O)c4cc(S(=O)(=O)F)cs4)cc3C2=O)C(=O)N1,1
N#Cc1ccsc1C(=O)Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0
O=C1CCC(N2Cc3ccc(NC(=O)c4sccc4S(=O)(=O)F)cc3C2=O)C(=O)N1,1
COCCc1nc(-c2ccc(C(=O)NC3CCC(=O)NC3=O)cc2)no1,0
Cc1c(C(=O)NC2CCC(=O)NC2=O)nnn1-c1cccc2cnccc12,0
O=C1CCC(c2ccc(Nc3nccc4cncn34)cc2)C(=O)N1,0
O=C1CCC(NC(=O)c2ncc(S(=O)(=O)F)c3[nH]ccc23)C(=O)N1,1
O=C1CCC(NC(=O)c2nccc3[nH]c(S(=O)(=O)F)cc23)C(=O)N1,1
O=C1CCC(NC(=O)c2nccc3[nH]cc(Br)c23)C(=O)N1,0
O=C1CCC(NC(=O)c2nc(S(=O)(=O)F)cc3[nH]ccc23)C(=O)N1,1
CC1CCCCC1C(=O)Nc1ccc(C2CC(=O)NC(=O)C2)cc1,0
Cc1nn(C2CCCc3ccccc32)c2c1C(=O)NC2,0
CC(C(=O)N(C)CC(=O)Nc1ccc(C2CCC(=O)NC2=O)cc1)n1cccn1,0
O=C1CCC(N2Cc3cc(NC(=O)c4cnc5ccccc5c4)ccc3C2=O)C(=O)N1,0
COc1ccc2cc(C(=O)Nc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)cnc2c1,0
O=C1CCC(N2Cc3cc(CNC(=O)C4COc5ccccc5C4)ccc3C2=O)C(=O)N1,0
COc1c(C(=O)Nc2ccc(C3CCC(=O)NC3=O)cc2)ccc2c1CCC2,0
CCC1(c2ccc(NC(=O)c3ccc4c(c3)CCC4)cc2)CCC(=O)NC1=O,0
O=C1CCC(NC(=O)c2cc3c(=O)[nH]cnc3cn2)C(=O)N1,0
CC1(C(=O)NCc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)CC1,0
N#CN1CCC(c2c(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)ncnc2C2CC2)C1,1
O=C1CCC(NC(=O)c2ccoc2S(=O)(=O)c2ccccc2)C(=O)N1,0
O=C1CCC(NC(=O)c2cccc(N3CC(C(F)(F)F)OC3=O)n2)C(=O)N1,0
O=C(CCCC1CCCO1)NCc1cc(C(=O)NC2CCC(=O)NC2=O)co1,0
N#CN1CCC(c2cccc(-n3cnc(C(=O)NC4CCC(=O)NC4=O)n3)c2)C1,1
O=C1CCN(c2ccc(-c3c(S(=O)(=O)F)ccc4c3OCC4)cc2)C(=O)N1,1
COc1cc2c(c(-c3ccc(N4CCC(=O)NC4=O)cc3)c1)OCC2,0
O=C1CCN(c2ccc(-c3cc(S(=O)(=O)F)cc4c3OCC4)cc2)C(=O)N1,1
O=C(CCl)Nc1ccc2c(c1)C(=O)NC2=O,1
O=C(CCl)NN1C(=O)c2ccccc2C1=O,1
CN1C(=O)c2ccc(NC(=O)CCl)cc2C1=O,1
O=C(CCl)NCCN1C(=O)c2ccccc2C1=O,1
