batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
128,64,0.0001,0,0.3945371775417299,0.0,0.9848254931714719,0.9684005323882628,0.6767830045523521,0.32741182898897153
256,8,0.001,42,0.5732725892179195,0.2422899161207325,0.9832953682611997,0.9646090281576838,0.982536066818527,0.9629550547336881
256,8,0.001,21,0.34052924791086353,0.026752957311133963,0.9756267409470752,0.94546423453035,0.9763231197771588,0.947026659837013
256,8,0.001,0,0.3945371775417299,0.0,0.9711684370257967,0.9400281608387084,0.9734446130500759,0.9446249573264202
256,8,0.0005,42,0.5003796507213364,0.26341127183232943,0.9870918754745635,0.9726268844920883,0.381169324221716,0.0
256,8,0.0005,21,0.35584958217270196,0.03501372113089343,0.974233983286908,0.9423369007402413,0.9749303621169917,0.9439057961986593
256,8,0.0005,0,0.6494688922610015,0.43284620471644114,0.9696509863429439,0.9368186435627077,0.3945371775417299,0.0
256,8,0.0001,42,0.381169324221716,0.0,0.9445709946848899,0.8823808840767626,0.381169324221716,0.0
256,8,0.0001,21,0.3516713091922006,0.04782837127020016,0.658774373259053,-0.032776977768349404,0.33913649025069637,0.0
256,8,0.0001,0,0.3945371775417299,0.0,0.9658573596358119,0.9286097515142444,0.3945371775417299,0.0
256,16,0.001,42,0.381169324221716,0.0,0.9946848899012908,0.9887389976569823,0.982536066818527,0.9629769963568676
256,16,0.001,21,0.33913649025069637,0.0,0.9853760445682451,0.967360000596334,0.9749303621169917,0.9441320814555771
256,16,0.001,0,0.9620637329286799,0.9204427955738586,0.9878603945371776,0.9746122431519414,0.9719271623672231,0.941421916163985
256,16,0.0005,42,0.381169324221716,0.0,0.9946848899012908,0.9887389976569823,0.381169324221716,0.0
256,16,0.0005,21,0.33913649025069637,0.0,0.9881615598885793,0.9735527554750635,0.9644846796657381,0.921604383965555
256,16,0.0005,0,0.7814871016691958,0.5711678878256883,0.9666160849772383,0.9303996090107065,0.9711684370257967,0.9397255406078837
256,16,0.0001,42,0.4510250569476082,0.05282468284017796,0.982536066818527,0.9630515297017987,0.381169324221716,0.0
256,16,0.0001,21,0.33913649025069637,0.0,0.9603064066852368,0.911059382865452,0.33913649025069637,0.0
256,16,0.0001,0,0.3945371775417299,0.0,0.9620637329286799,0.9209503202868036,0.3945371775417299,0.0
256,32,0.001,42,0.9658314350797267,0.9276008160000789,0.9946848899012908,0.9887389976569823,0.9848139711465452,0.9677810284944717
256,32,0.001,21,0.9623955431754875,0.916904377384807,0.9895543175487466,0.9767093527769358,0.983983286908078,0.9642870312830588
256,32,0.001,0,0.9650986342943855,0.9268560311648468,0.9833080424886191,0.9650616926932717,0.9749620637329287,0.9478279984888553
256,32,0.0005,42,0.381169324221716,0.0,0.9924069855732726,0.9839874009595209,0.9772209567198178,0.9517849234372094
256,32,0.0005,21,0.9366295264623955,0.8586972985851041,0.9909470752089137,0.9798445111600821,0.9818941504178273,0.9596227490663549
256,32,0.0005,0,0.9613050075872535,0.9188610278900962,0.9795144157814871,0.957136732884549,0.9726858877086495,0.9430612822554244
256,32,0.0001,42,0.381169324221716,0.0,0.982536066818527,0.9629769963568676,0.381169324221716,0.0
256,32,0.0001,21,0.33913649025069637,0.0,0.9798050139275766,0.954837231634211,0.9456824512534819,0.8834078771170008
256,32,0.0001,0,0.3945371775417299,0.0,0.9643399089529591,0.9258256666668719,0.5591805766312595,0.3355972150263117
256,64,0.001,42,0.9810174639331815,0.9598194639685401,0.9954441913439636,0.9903429227873781,0.9878511769172361,0.9742331329082352
256,64,0.001,21,0.9693593314763231,0.931887794278569,0.9909470752089137,0.9799316221495171,0.9756267409470752,0.94546423453035
256,64,0.001,0,0.9719271623672231,0.9412978674780387,0.9855842185128983,0.9699069356062023,0.9742033383915023,0.9460222336700678
256,64,0.0005,42,0.9711465451784358,0.9387501380558857,0.9931662870159453,0.9855101185129244,0.9886104783599089,0.9758493333483045
256,64,0.0005,21,0.9700557103064067,0.9334844597999736,0.9930362116991643,0.9844846130600634,0.9763231197771588,0.947026659837013
256,64,0.0005,0,0.9597875569044007,0.9156894657941647,0.9893778452200304,0.9777863424380051,0.9726858877086495,0.9431444647282882
256,64,0.0001,42,0.6643887623386484,0.28805213839292804,0.9931662870159453,0.9855101185129244,0.381169324221716,0.0
256,64,0.0001,21,0.6908077994428969,0.40733572385969236,0.9888579387186629,0.9751724903821051,0.9672701949860725,0.9272915048200345
256,64,0.0001,0,0.3945371775417299,0.0,0.9810318664643399,0.9603118830558071,0.6077389984825493,0.059169448967670464
