molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
6557,ligand_6557.sdf,-10.32265129,-6.967718888,3.354932397,-41461.58892,12
6558,ligand_6558.sdf,-10.95318908,-8.348733809,2.60445527,-106264.2114,11
6559,ligand_6559.sdf,-10.9481698,-8.340845373,2.607324432,-106264.2089,11
656,ligand_656.sdf,-10.92322119,-8.49112259,2.432098599,-25780.28718,2
6560,ligand_6560.sdf,-10.29460001,-7.574799993,2.719800013,-43099.85858,3
6561,ligand_6561.sdf,-11.25595463,-7.982036037,3.273918591,-30882.44214,4
6562,ligand_6562.sdf,-11.24791354,-7.985235665,3.26267787,-30882.43966,4
6563,ligand_6563.sdf,-11.09563448,-8.091112338,3.004522144,-45562.94733,12
6564,ligand_6564.sdf,-11.28572576,-8.077931535,3.207794222,-45562.90466,12
6565,ligand_6565.sdf,-11.09077233,-8.052095466,3.03867686,-45562.84888,15
6566,ligand_6566.sdf,-11.32012798,-8.104241915,3.21588607,-45562.97028,11
6567,ligand_6567.sdf,-11.10072397,-8.017289727,3.083434244,-45562.79223,15
6568,ligand_6568.sdf,-11.10027336,-8.017249558,3.083023802,-45562.78919,14
6569,ligand_6569.sdf,-10.81970869,-8.16038043,2.659328257,-45458.55695,3
657,ligand_657.sdf,-10.92311644,-8.491118007,2.431998437,-25780.29082,2
6570,ligand_6570.sdf,-10.819369,-8.159876239,2.659492756,-45458.55309,3
6571,ligand_6571.sdf,-11.04250542,-7.94994668,3.092558744,-45458.45119,10
6572,ligand_6572.sdf,-11.01377334,-8.040192015,2.97358133,-45458.75957,7
6573,ligand_6573.sdf,-10.90489912,-8.126143038,2.77875608,-45458.93623,7
6574,ligand_6574.sdf,-11.27015779,-8.242890686,3.027267101,-45458.30322,6
6575,ligand_6575.sdf,-11.01364223,-8.039350102,2.974292131,-45458.75847,7
6576,ligand_6576.sdf,-11.0660102,-7.9219907,3.144019499,-45458.51604,10
6577,ligand_6577.sdf,-10.90499855,-8.125471906,2.779526645,-45458.93753,7
6578,ligand_6578.sdf,-11.19028172,-8.198730073,2.991551649,-45458.9419,12
6579,ligand_6579.sdf,-11.11492486,-8.062867573,3.052057288,-45458.81686,6
658,ligand_658.sdf,-10.02281667,-8.324803133,1.698013533,-25675.18424,8
