"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N1CC(=O)N(C)CC1C",182.105527688,"Covalent"
"C=CC(=O)N1CC(C)(C#N)C1",150.07931294,"Covalent"
"C=CC(=O)N1CC[C@H]2CC[C@H](O)[C@H]21",181.11027872,"Covalent"
"C=CC(=O)N1Cc2cccn2[C@@H](C)C1",190.110613068,"Covalent"
"C=CC(=O)N1CCn2ncc(O)c2C1",193.085126592,"Covalent"
"C=CC(=O)N1CCN(CCO)C(C)C1",198.136827816,"Covalent"
"C=CC(=O)N1CCC[C@@H]1C(O)CC",183.125928784,"Covalent"
"C=CC(=O)NCc1coc(Cl)n1",186.019605144,"Covalent"
"C=CC(=O)N[C@@H]1C[C@H]1COC",155.094628656,"Covalent"
"C=CC(=O)NC[C@H](C)c1ccccc1",189.1153641,"Covalent"
"C=CC(=O)NCC1CCCOC1",169.11027872,"Covalent"
"C=CC(=O)NCC1CCCCS1",185.0874351,"Covalent"
"C=CC(=O)NC1(C)CCOC1C",169.11027872,"Covalent"
"C=CC(=O)NCc1ccn(C)c1",164.094963004,"Covalent"
"C=CC(=O)NCc1c(C)noc1C",180.089877624,"Covalent"
"C=CC(=O)NCCc1nc(C)no1",181.085126592,"Covalent"
"C=CC(=O)Nc1cc(C)ccc1OC",191.094628656,"Covalent"
"C=CC(=O)NCCN1CCC(C)CC1",196.15756326,"Covalent"
"C=CC(=O)NCC1CCCSC1",185.0874351,"Covalent"
"C=CC(=O)NC(C)C1=CCN(C)CC1",194.141913196,"Covalent"
"C=CC(=O)Nc1ccnn1CC1CC1",191.105862036,"Covalent"
"C=CC(=O)N1C2CO[C@H]3[C@@H]2OC[C@H]31",181.073893212,"Covalent"
"C=CC(=O)N[C@H]1C[C@@H](OCC)C1",169.11027872,"Covalent"
"C=CC(=O)Nc1cc(C2CC2)no1",178.07422756,"Covalent"
"C=CC(=O)N1C[C@H](OC)[C@H](OC)C1",185.10519334,"Covalent"
"C=CC(=O)N1CCc2cc(C)ccc21",187.099714036,"Covalent"
"C=CC(=O)NCCc1cncc(C)n1",191.105862036,"Covalent"
"C=CC(=O)NCc1cnc(C2CC2)o1",192.089877624,"Covalent"
