sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NCC1CCCN2C=C(N=C12)C(F)(F)F)C=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9302748811,469.845,469.845,0.704,-4.535,2,4,96.33,5,https://real.enamine.net/public-enum-files/Z9302748811
CC=1C(=CC=CC1N2CCC(=O)NC2=O)NC(=O)CCC3NC(=O)N(C3=O)C=4C=CC(C#N)=CC4,Z9302748870,474.47,474.47,-2.017,-4.309,3,6,151.71,6,https://real.enamine.net/public-enum-files/Z9302748870
CC=1C(=CC=CC1N2CCC(=O)NC2=O)NC(=O)C=3C=C4OCC(CN4N3)OCC=5C=CC=CC5,Z9302748882,475.498,475.498,0.306,-5.4,2,6,114.79,6,https://real.enamine.net/public-enum-files/Z9302748882
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N3CCC4(C3)CN(CC=5C=CC=CC5)C(=O)CO4,Z9302748954,476.525,476.525,0.162,-5.359,1,5,99.26,4,https://real.enamine.net/public-enum-files/Z9302748954
CC1=CC(=CC(=C1)C(=O)N(CC=2C=CC=CC2)CC3(O)CCC=4C=CC=CC43)N5CCC(=O)NC5=O,Z9302749121,483.559,483.559,2.699,-6.284,2,4,89.95,6,https://real.enamine.net/public-enum-files/Z9302749121
CC=1C=CC(=CC1)COC=2C=CC(=CC2)CC(C)NC(=O)C=3C=CC(C)=C(C3)N4CCC(=O)NC4=O,Z9302749174,485.575,485.575,3.623,-6.633,2,4,87.74,8,https://real.enamine.net/public-enum-files/Z9302749174
O=C(C=1C=C(Cl)C=C(C1)N2CCC(=O)NC2=O)N3CCOCC3C4=NN=C(O4)C5=CC=CS5,Z9302749265,487.918,487.918,-0.304,-5.434,1,6,117.87,4,https://real.enamine.net/public-enum-files/Z9302749265
COCCN1C(=NC=2C=CC=CC21)C3CN(CCO3)C(=O)C=4C=CC(=C(C)C4)N5CCC(=O)NC5=O,Z9302749468,491.54,491.54,-0.134,-4.079,1,6,106,6,https://real.enamine.net/public-enum-files/Z9302749468
CC=1C=CC=C(NC(=O)CN(CC2CCCO2)C(=O)C=3C=CC(C)=C(C3)N4CCC(=O)NC4=O)C1C,Z9302749489,492.568,492.568,1.272,-5.686,2,5,108.05,7,https://real.enamine.net/public-enum-files/Z9302749489
O=C(O)C(F)(F)F.CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)NC=3C=CC(=CC3)CN(CC4CCCCO4)C(C)C,Z9401520959,606.634,492.611,2.261,-5.726,2,5,90.98,9,https://real.enamine.net/public-enum-files/Z9401520959
